"","X","court_index_number","docket_number","eviction_address","eviction_apartment_number","executed_date","marshal_first_name","marshal_last_name","residential_commercial","borough","eviction_postcode","ejectment","eviction_legal_possession","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","year"
"24",1311,"300170/23",16540,"2370 FIRST AVE APT 07E","07E","2023-07-24","Robert","Renzulli","Residential","MANHATTAN",10035,"Not an Ejectment","Eviction",40.799537,-73.932816,11,8,192,1081291,1018080001,"East Harlem North",2023
"25",1440,"14445/16",107348,"330 MADISON STREET","01E","2017-03-09","Maxine","Chevlowe","Residential","MANHATTAN",10002,"Not an Ejectment","Eviction",40.713247,-73.983396,3,2,202,1077524,1002600001,"Lower East Side",2017
"26",1584,"19669/16",85403,"2940 WEST 33RD ST","14E","2017-11-09","Robert","Solimine","Residential","BROOKLYN",11224,"Not an Ejectment","Eviction",40.57417,-73.999453,13,47,342,3321764,3070470014,"Seagate-Coney Island",2017
"27",1673,"300464/24*",1644,"20 CATHERINE SLIP","09B","2024-11-18","Charles","Kemp","Residential","MANHATTAN",10038,"Not an Ejectment","Eviction",40.709543,-73.996162,3,1,25,1077410,1001110100,"Chinatown",2024
"28",1777,"810908/17",341298,"965 TINTON AVENUE","4F","2019-01-30","Thomas","Bia","Residential","BRONX",10456,"Not an Ejectment","Eviction",40.823357,-73.902882,3,16,133,2091965,2026390001,"Morrisania-Melrose",2019
"29",1778,"10848/16",18044,"264 LOCKMAN AVENUE","03C","2019-03-22","Edward","Guida","Residential","STATEN ISLAND",10303,"Not an Ejectment","Eviction",40.630377,-74.161775,1,49,31901,5109129,5012480200,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",2019
"30",2007,"11487/12",200694,"13-06 34TH AVENUE","O5E","2017-10-16","Richard","Capuano","Residential","QUEENS",11106,"Not an Ejectment","Eviction",40.763863,-73.936209,1,26,43,4430808,4005230002,"Queensbridge-Ravenswood-Long Island City",2017
"31",2073,"12196/18",205991,"13-10 REDFERN AVENUE","02D","2019-08-21","Richard","Capuano","Residential","QUEENS",11691,"Not an Ejectment","Eviction",40.609221,-73.751252,14,31,103201,4449688,4155010002,"Far Rockaway-Bayswater",2019
"32",2132,"809247/16",69369,"877 TAYLOR AVENUE","07C","2018-02-08","Henry","Daley","Residential","BRONX",10473,"Not an Ejectment","Eviction",40.823155,-73.86342,9,18,42,2092754,2036370001,"Soundview-Castle Hill-Clason Point-Harding Park",2018
"33",2248,"15783/15",4339,"61 THATFORD AVENUE","5C","2017-01-27","Jeffrey","Rose","Residential","BROOKLYN",11212,"Not an Ejectment","Eviction",40.67012,-73.909865,16,41,906,3424540,3034890001,"Brownsville",2017
"34",2325,"13698/17",346368,"550 WEST 125TH STREET","5E","2018-09-13","Thomas","Bia","Residential","MANHATTAN",10027,"Not an Ejectment","Eviction",40.814362,-73.957147,9,7,211,1084121,1019800001,"Morningside Heights",2018
"35",2430,"13172/18",206830,"155-10 JEWEL AVENUE","03B","2019-01-24","Richard","Capuano","Residential","QUEENS",11367,"Not an Ejectment","Eviction",40.732112,-73.812764,8,24,122702,4451589,4067920001,"Pomonok-Flushing Heights-Hillcrest",2019
"36",2449,"12499/16",50149,"5 FLEET WALK","05E","2017-06-19","Justin","Grossman","Residential","BROOKLYN",11201,"Not an Ejectment","Eviction",40.695529,-73.98123,2,35,15,3257046,3020500001,"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2017
"37",2515,"19447/17",33100,"20 CATHERINE SLIP","05D","2018-06-13","Bruce","Kemp","Residential","MANHATTAN",10038,"Not an Ejectment","Eviction",40.709543,-73.996162,3,1,25,1077410,1001110100,"Chinatown",2018
"38",2610,"313511/23",111466,"2979 EIGHTH AVE.","22N","2024-02-28","Henry","Daley","Residential","MANHATTAN",10039,"Not an Ejectment","Eviction",40.830365,-73.936398,10,9,24302,1084520,1021060003,"Central Harlem North-Polo Grounds",2024
"39",2656,"14245/17A",68032,"570 BLAKE AVENUE","05D","2018-02-05","Justin","Grossman","Residential","BROOKLYN",11207,"Not an Ejectment","Eviction",40.667344,-73.898099,5,42,1134,3336125,3037850015,"East New York (Pennsylvania Ave)",2018
"40",2662,"802031/14",313210,"370 MORRIS AVENUE","6 G","2017-04-10","John","Villanueva","Residential","BRONX",10451,"Not an Ejectment","Eviction",40.814721,-73.924488,1,8,51,2091129,2023250001,"Mott Haven-Port Morris",2017
"41",2714,"12955/16",6862,"116-80 GUY R. BREWER BLVD.","06E","2017-05-08","Edward","Guida","Residential","QUEENS",11434,"Not an Ejectment","Eviction",40.684875,-73.78338,12,28,278,4435282,4122350022,"Baisley Park",2017
"42",2740,"24282/18",157033,"728 EAST NEW YORK AVENUE","20E","2019-06-20","Ronald","Pazant","Residential","BROOKLYN",11203,"Not an Ejectment","Eviction",40.662306,-73.938667,9,41,87401,3106612,3047950016,"Prospect Lefferts Gardens-Wingate",2019
"43",2760,"306304/24",21224,"26-19 AND 26-21 JACKSON AVENUE","","2024-12-03","Robert","Renzulli","Commercial","QUEENS",11101,"Not an Ejectment","Eviction",NA,NA,NA,NA,NA,NA,NA,"",2024
"44",3034,"15232/18",114240,"436 WEST 27TH DRIVE","07F","2019-02-14","Maxine","Chevlowe","Residential","MANHATTAN",10001,"Not an Ejectment","Eviction",40.749773,-74.001252,4,3,97,1012827,1007240010,"Hudson Yards-Chelsea-Flatiron-Union Square",2019
"45",3079,"10501/16",75333,"51 HILL ST.","6K","2017-04-28","Kenneth","Giachetta","Residential","STATEN ISLAND",10304,"Not an Ejectment","Eviction",40.621479,-74.079879,1,49,29,5113114,5005450100,"Stapleton-Rosebank",2017
"46",3192,"10411*/17",32418,"220 THROOP AVENUE","07E","2018-04-23","Bruce","Kemp","Residential","BROOKLYN",11206,"Not an Ejectment","Eviction",40.696568,-73.943638,3,36,25902,3324251,3017400001,"Bedford",2018
"47",3218,"18055/17",113447,"436 WEST 27TH DRIVE","09E","2018-07-19","Maxine","Chevlowe","Residential","MANHATTAN",10001,"Not an Ejectment","Eviction",40.749773,-74.001252,4,3,97,1012827,1007240010,"Hudson Yards-Chelsea-Flatiron-Union Square",2018
"48",3299,"12256/19",208719,"14-01 36TH AVENUE","2G","2020-02-03","Richard","Capuano","Residential","QUEENS",11106,"Not an Ejectment","Eviction",40.760205,-73.937473,1,26,43,4430696,4003320002,"Queensbridge-Ravenswood-Long Island City",2020
"49",3328,"12358/17",5097,"61 AVENUE W","04G","2017-10-12","Jeffrey","Rose","Residential","BROOKLYN",11223,"Not an Ejectment","Eviction",40.591434,-73.98186,13,47,382,3322146,3071370001,"Gravesend",2017
"50",3452,"16485/16",4700,"300 DUMONT AVE","09C","2017-03-08","Jeffrey","Rose","Residential","BROOKLYN",11212,"Not an Ejectment","Eviction",40.664237,-73.908341,16,41,912,3326542,3035760001,"Brownsville",2017
"51",3521,"12152/18",156589,"138 WEST 117 STREET","54","2019-04-12","Ronald","Pazant","Residential","MANHATTAN",10026,"Not an Ejectment","Eviction",40.803422,-73.95093,10,9,218,1057415,1019010051,"Central Harlem South",2019
"52",3704,"16425/19",1181,"72 COLUMBIA STREET","22D","2024-09-09","Charles","Kemp","Residential","MANHATTAN",10002,"Not an Ejectment","Eviction",40.717007,-73.980268,3,2,1002,1078043,1003230001,"Lower East Side",2024
"53",3754,"304929/24",20583,"156-30 NORTHERN BOULEVARD RETAIL STORE AND BASEMENT","","2024-06-27","Robert","Renzulli","Commercial","QUEENS",11354,"Not an Ejectment","Eviction",NA,NA,NA,NA,NA,NA,NA,"",2024
"54",3763,"13228/18",21497,"41-10 10TH STREET","03E","2019-03-20","Edward","Guida","Residential","QUEENS",11101,"Not an Ejectment","Eviction",40.755519,-73.945797,1,26,25,4433395,4004650100,"Queensbridge-Ravenswood-Long Island City",2019
"55",3767,"18684/18",157460,"1142 LENOX ROAD","03C","2019-10-07","Ronald","Pazant","Residential","BROOKLYN",11212,"Not an Ejectment","Eviction",40.659169,-73.918259,17,41,890,3101906,3046710007,"Rugby-Remsen Village",2019
"56",3824,"15738/18",114401,"765 FDR DR","02D","2019-03-11","Maxine","Chevlowe","Residential","MANHATTAN",10009,"Not an Ejectment","Eviction",40.722512,-73.974501,3,2,24,1077555,1003620001,"Lower East Side",2019
"57",3896,"10710/17",10206,"116-40 GUY R. BREWER BLVD","08E","2017-11-28","Edward","Guida","Residential","QUEENS",11434,"Not an Ejectment","Eviction",40.685658,-73.783843,12,28,278,4435280,4122350022,"Baisley Park",2017
"58",4024,"805936/18",90563,"1851 SCHIEFFELIN PLA CE","04D","2018-10-22","Ileana","Rivera","Residential","BRONX",10466,"Not an Ejectment","Eviction",NA,NA,NA,NA,NA,NA,NA,"",2018
"59",4073,"313496/23",1192,"446 EAST 105TH ST","06B","2023-11-17","Charles","Kemp","Residential","MANHATTAN",10029,"Not an Ejectment","Eviction",40.788219,-73.93884,11,8,162,1083950,1016960001,"East Harlem South",2023
"60",4096,"12056/19",354717,"60 EAST 104TH STREET","6A","2019-07-29","Thomas","Bia","Residential","MANHATTAN",10029,"Not an Ejectment","Eviction",40.791929,-73.949599,11,8,168,1082661,1016080023,"East Harlem South",2019
"61",4327,"13109/17",24620,"1008 ST. MARKS AVE","07D","2018-06-13","Gary","Rose","Residential","BROOKLYN",11213,"Not an Ejectment","Eviction",40.67458,-73.938469,8,36,343,3324616,3013520080,"Crown Heights North",2018
"62",4363,"010884/17",69312,"14 ROXBURY ST.","05C","2018-03-14","Steven","Powell","Residential","STATEN ISLAND",10303,"Not an Ejectment","Eviction",40.633508,-74.162049,1,49,31901,5110121,5012450001,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",2018
"63",4403,"19768/16",150821,"2545 LINDEN BLVD.","06A","2017-02-15","Ronald","Pazant","Residential","BROOKLYN",11208,"Not an Ejectment","Eviction",40.6677,-73.870414,5,42,1210,3337048,3042920061,"East New York",2017
"64",4483,"11004/18",154637,"354 KINGSBOROUGH 3RD WALK","01A","2018-07-19","Ronald","Pazant","Residential","BROOKLYN",11233,"Not an Ejectment","Eviction",40.675017,-73.925847,8,41,307,3331198,3013440001,"Crown Heights North",2018
"65",4519,"10870/18",6252,"414 BALTIC STREET","12C","2018-11-28","Frank","Siracusa","Residential","BROOKLYN",11217,"Not an Ejectment","Eviction",40.683736,-73.989017,6,33,71,3336071,3004040001,"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2018
"66",4531,"16414/17A",81428,"48 FLEET WALK","01A","2018-07-02","Justin","Grossman","Residential","BROOKLYN",11201,"Not an Ejectment","Eviction",40.694465,-73.981749,2,35,15,3257037,3020500001,"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2018
"67",4601,"71702/19",11800,"568 E 86TH STREET - RM A (ONE ROOM 2ND FL FRONT)","","2019-09-19","Robert","Renzulli","Residential","BROOKLYN",11236,"Not an Ejectment","Eviction",NA,NA,NA,NA,NA,NA,NA,"",2019
"68",4663,"14312/14",198544,"21-25 35TH AVENUE","3E","2017-01-23","Richard","Capuano","Residential","QUEENS",11106,"Not an Ejectment","Eviction",40.761118,-73.934855,1,26,47,4430879,4005590002,"Astoria",2017
"69",4676,"14807/16",337962,"845 COLUMBUS AVENUE","5A","2018-02-15","Thomas","Bia","Residential","MANHATTAN",10025,"Not an Ejectment","Eviction",40.796398,-73.964934,7,7,189,1081299,1018360001,"Upper West Side",2018
"70",4748,"22954/18",64267,"151 NORTH OXFORD WALK","06A","2024-01-24","Howard","Schain","Residential","BROOKLYN",11205,"Not an Ejectment","Eviction",40.693461,-73.975024,2,35,18501,3335256,3020410001,"Fort Greene",2024
"71",4765,"11484/17",109746,"1505 PARK AVE","05B","2018-02-06","Maxine","Chevlowe","Residential","MANHATTAN",10029,"Not an Ejectment","Eviction",40.794985,-73.946371,11,8,172,1078929,1016370001,"East Harlem South",2018
"72",4769,"10680/19",25911,"361 GRANDVIEW AVE.","05D","2020-03-06","Edward","Guida","Residential","STATEN ISLAND",10303,"Not an Ejectment","Eviction",40.631827,-74.165248,1,49,31901,5109989,5012480200,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",2020
"73",4809,"11107/19",34396,"20 CATHERINE SLIP","16I","2019-07-15","Bruce","Kemp","Residential","MANHATTAN",10038,"Not an Ejectment","Eviction",40.709543,-73.996162,3,1,25,1077410,1001110100,"Chinatown",2019
"74",4904,"323921/23",64518,"231 THROOP AVENUE","04C","2024-06-27","Howard","Schain","Residential","BROOKLYN",11206,"Not an Ejectment","Eviction",40.696151,-73.943537,3,36,28502,3338596,3017490015,"Stuyvesant Heights",2024
"75",4928,"304277/23",31512,"163-11 FOCH BOULEVARD","07G","2024-02-16","Edward","Guida","Residential","QUEENS",11434,"Not an Ejectment","Eviction",40.684336,-73.782849,12,28,278,4435293,4123350044,"Baisley Park",2024
"76",4937,"16977/18",61890,"372 BLAKE AVENUE","02H","2019-08-20","Howard","Schain","Residential","BROOKLYN",11212,"Not an Ejectment","Eviction",40.666255,-73.905425,16,41,910,3328042,3037770001,"Brownsville",2019
"77",5099,"804820/18",349702,"905 EAGLE AVENUE","05L","2019-10-01","Thomas","Bia","Residential","BRONX",10456,"Not an Ejectment","Eviction",40.822746,-73.908198,3,17,141,2004383,2026200036,"Morrisania-Melrose",2019
"78",5113,"13344/17",203876,"67-20 PARSONS BLVD","06B","2018-11-05","Richard","Capuano","Residential","QUEENS",11365,"Not an Ejectment","Eviction",40.733659,-73.810703,8,24,122702,4455423,4067920030,"Pomonok-Flushing Heights-Hillcrest",2018
"79",5274,"11196/16",150499,"305 FOUNTAIN AVENUE","07C","2017-01-19","Ronald","Pazant","Residential","BROOKLYN",11208,"Not an Ejectment","Eviction",40.672341,-73.874602,5,42,1210,3337021,3042920061,"East New York",2017
"80",5350,"14384/17",335769,"860 COLUMBUS AVENUE","12E","2020-02-18","Thomas","Bia","Residential","MANHATTAN",10025,"Not an Ejectment","Eviction",40.796755,-73.964699,7,7,189,1079375,1018550001,"Upper West Side",2020
"81",5356,"16169/19",34809,"448 EAST 105TH ST","6B","2019-11-25","Bruce","Kemp","Residential","MANHATTAN",10029,"Not an Ejectment","Eviction",40.788194,-73.938786,11,8,162,1083950,1016960001,"East Harlem South",2019
"82",5388,"301793/23",64212,"553 EAST 108 STREET","05E","2024-01-24","Howard","Schain","Residential","BROOKLYN",11236,"Not an Ejectment","Eviction",40.652542,-73.896583,18,42,982,3331294,3081580001,"Canarsie",2024
"83",5496,"20122/17",33778,"419 EAST 93RD STREET","15F","2019-04-08","Bruce","Kemp","Residential","MANHATTAN",10128,"Not an Ejectment","Eviction",40.7808,-73.94487,8,5,152,1082368,1015730001,"Yorkville",2019
"84",5572,"11865/18",18347,"40-11 12TH STREET","02F","2019-02-15","Edward","Guida","Residential","QUEENS",11101,"Not an Ejectment","Eviction",40.755814,-73.943042,1,26,25,4441795,4004700200,"Queensbridge-Ravenswood-Long Island City",2019
"85",5596,"69455/16",319020,"500 W 142ND STREET","2A","2017-02-07","John","Villanueva","Residential","MANHATTAN",10031,"Not an Ejectment","Eviction",40.823351,-73.949116,9,7,225,1061800,1020730036,"Hamilton Heights",2017
"86",5626,"808246/17",107262,"575 CASTLE HILL AVE","6G","2020-02-10","Darlene","Barone","Residential","BRONX",10473,"Not an Ejectment","Eviction",40.818686,-73.847966,9,18,86,2092631,2035340001,"Soundview-Castle Hill-Clason Point-Harding Park",2020
"87",5672,"806976/16",94145,"409 E 146TH ST","03C","2017-11-03","Darlene","Barone","Residential","BRONX",10455,"Not an Ejectment","Eviction",40.813944,-73.918723,1,8,43,2091085,2022910023,"Mott Haven-Port Morris",2017
"88",5724,"13180/16",6873,"40-14 12TH STREET","02A","2017-02-24","Edward","Guida","Residential","QUEENS",11101,"Not an Ejectment","Eviction",40.755781,-73.943075,1,26,25,4441798,4004700200,"Queensbridge-Ravenswood-Long Island City",2017
"89",5901,"331856/23",1402,"175 ALEXANDER AVE","05H","2024-11-25","Charles","Kemp","Residential","BRONX",10454,"Not an Ejectment","Eviction",40.808289,-73.926442,1,8,23,2091141,2023110001,"Mott Haven-Port Morris",2024
"90",5991,"10006/17",4946,"30 AVENUE V","06A","2017-09-08","Jeffrey","Rose","Residential","BROOKLYN",11223,"Not an Ejectment","Eviction",40.593674,-73.983491,13,47,382,3322143,3071370001,"Gravesend",2017
"91",6006,"16695/16",66664,"2955 EIGHTH AVE.","23K","2017-04-13","Henry","Daley","Residential","MANHATTAN",10039,"Not an Ejectment","Eviction",40.830006,-73.936673,10,9,24302,1084519,1021060003,"Central Harlem North-Polo Grounds",2017
"92",6179,"13317/17",70530,"411 LAFAYETTE AVENUE","9C","2018-02-02","Justin","Grossman","Residential","BROOKLYN",11238,"Not an Ejectment","Eviction",40.68901,-73.958955,3,35,233,3339158,3019380001,"Bedford",2018
"93",6361,"14327/19",116758,"950 EAST 4TH WALK","07A","2019-09-05","Maxine","Chevlowe","Residential","MANHATTAN",10009,"Not an Ejectment","Eviction",40.720319,-73.975617,3,2,20,1078056,1003560001,"Lower East Side",2019
"94",6371,"12675/18",354003,"75 LASALLE STREET","7D","2020-02-10","Thomas","Bia","Residential","MANHATTAN",10027,"Not an Ejectment","Eviction",40.813235,-73.958325,9,7,211,1084119,1019800001,"Morningside Heights",2020
"95",6375,"802076/17",341348,"820 EAST 167TH STREET","1B","2018-03-06","Thomas","Bia","Residential","BRONX",10459,"Not an Ejectment","Eviction",40.826598,-73.899922,3,17,131,2091983,2026800001,"Longwood",2018
"96",6418,"16893/18",34205,"200 WEST 143RD ST","19G","2019-07-24","Bruce","Kemp","Residential","MANHATTAN",10030,"Not an Ejectment","Eviction",40.820379,-73.940137,10,9,232,1060430,1020280016,"Central Harlem North-Polo Grounds",2019
"97",6421,"13094/17",20033,"89-09 162ND STREET","07L","2018-10-29","Edward","Guida","Residential","QUEENS",11432,"Not an Ejectment","Eviction",40.706571,-73.799061,12,24,44601,4208882,4097610036,"Jamaica",2018
"98",6477,"12462/18",206190,"15-30 HASSOCK STREET","06A","2019-08-29","Richard","Capuano","Residential","QUEENS",11691,"Not an Ejectment","Eviction",40.609014,-73.753287,14,31,103201,4449685,4155010002,"Far Rockaway-Bayswater",2019
"99",6479,"20604/16",85182,"85 TAYLOR STREET","07B","2017-07-11","Robert","Solimine","Residential","BROOKLYN",11249,"Not an Ejectment","Eviction",40.704921,-73.964665,1,33,545,3334990,3021720001,"Williamsburg",2017
"100",6526,"18024/15",4290,"265 LIVONIA AVENUE","14E","2017-01-17","Jeffrey","Rose","Residential","BROOKLYN",11212,"Not an Ejectment","Eviction",40.66267,-73.908202,16,41,912,3326546,3035760001,"Brownsville",2017
"101",6532,"13978/17",5124,"270 STONE AVENUE","06B","2018-03-20","Jeffrey","Rose","Residential","BROOKLYN",11212,"Not an Ejectment","Eviction",40.67277,-73.907673,16,41,906,3424543,3034890001,"Brownsville",2018
"102",6565,"12395/18",348759,"1909 AMSTERDAM AVENUE","7C","2019-04-22","Thomas","Bia","Residential","MANHATTAN",10032,"Not an Ejectment","Eviction",40.831308,-73.943159,9,7,23501,1061681,1020680046,"Hamilton Heights",2019
"103",6766,"803096/16",324778,"730 EAST 165TH STREET","14D","2017-05-23","Thomas","Bia","Residential","BRONX",10456,"Not an Ejectment","Eviction",40.825079,-73.90408,3,16,133,2097876,2026390001,"Morrisania-Melrose",2017
"104",6792,"23420/18",86508,"190 YORK STREET","11F","2019-05-07","Robert","Solimine","Residential","BROOKLYN",11201,"Not an Ejectment","Eviction",40.701376,-73.983453,2,35,23,3325904,3000680001,"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2019
"105",6813,"11878/19",158100,"142 MAUJER STREET","3B","2019-07-31","Ronald","Pazant","Residential","BROOKLYN",11206,"Not an Ejectment","Eviction",40.710825,-73.944484,1,34,505,3327884,3030250046,"East Williamsburg",2019
"106",6816,"14315/18",114963,"1390 5TH AVENUE","12C","2019-03-06","Maxine","Chevlowe","Residential","MANHATTAN",10026,"Not an Ejectment","Eviction",40.799512,-73.947314,10,9,186,1083316,1015960001,"Central Harlem South",2019
"107",6933,"23867/18",7082,"185 NEVINS STREET","11K","2019-05-08","Frank","Siracusa","Residential","BROOKLYN",11217,"Not an Ejectment","Eviction",40.682868,-73.984814,6,33,127,3336055,3003940001,"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2019
"108",7014,"21083/17",85882,"2951 WEST 33RD ST","08E","2020-01-15","Robert","Solimine","Residential","BROOKLYN",11224,"Not an Ejectment","Eviction",40.573698,-73.999327,13,47,342,3321766,3070480015,"Seagate-Coney Island",2020
"109",7016,"801690/19",355300,"905 EAGLE AVENUE","03A","2019-10-18","Thomas","Bia","Residential","BRONX",10456,"Not an Ejectment","Eviction",40.822746,-73.908198,3,17,141,2004383,2026200036,"Morrisania-Melrose",2019
"110",7044,"803804/16",320506,"715 NOBLE AVE","1E","2017-02-23","John","Villanueva","Residential","BRONX",10473,"Not an Ejectment","Eviction",40.818858,-73.86723,9,18,20,2092701,2035930001,"Soundview-Castle Hill-Clason Point-Harding Park",2017
"111",7052,"210066/15",5743,"129 LORRAINE ST","1D","2019-03-20","Frank","Siracusa","Residential","BROOKLYN",11231,"Not an Ejectment","Eviction",40.673806,-74.004766,6,38,85,3332226,3005380001,"Carroll Gardens-Columbia Street-Red Hook",2019
"112",7085,"10787/18",19316,"14 ROXBURY STREET","05F","2019-04-19","Edward","Guida","Residential","STATEN ISLAND",10303,"Not an Ejectment","Eviction",40.633508,-74.162049,1,49,31901,5110121,5012450001,"Mariner's Harbor-Arlington-Port Ivory-Graniteville",2019
"113",7123,"14872/19",34745,"110 BARUCH DRIVE","03C","2019-11-18","Bruce","Kemp","Residential","MANHATTAN",10002,"Not an Ejectment","Eviction",40.718774,-73.977424,3,2,1002,1078034,1003230001,"Lower East Side",2019
"114",7133,"B811789/16",376864,"595 TRINITY AVE","21D","2017-11-17","Richard","McCoy","Residential","BRONX",10455,"Not an Ejectment","Eviction",40.81487,-73.909517,1,17,73,2091317,2026230135,"Melrose South-Mott Haven North",2017
